�..sale_date,chrome_style_id,country_code,customer_postal_code,days_in_inventory,dealership_id,dealership_postal_code,dma_id,finance_type,make_name,model_name,model_year,new_or_used,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
1/3/2019 0:00,397483,US,31419-1534,NA,4585,31406,507,LOAN,Honda,CR-V,2018,NEW,10,28893.46,NA,27240,dmi,RETAIL,GA,EX-L FWD,5,FALSE,,,NA,TRUE,
1/3/2019 0:00,397487,US,21117,7,3099,21117,512,,Honda,CR-V,2018,NEW,150,28353.05,29445,28526.39,reynolds,RETAIL,MD,EX AWD,3,FALSE,28071.23,HIGH_OUTLIER,26378.73,TRUE,0.953344541
1/3/2019 0:00,397487,US,07660-1336,NA,3482,7652,501,LOAN,Honda,CR-V,2018,NEW,10,27942.45,29445,25686.07,dmi,RETAIL,NJ,EX AWD,3,FALSE,25930.08,GREAT,26968.62,FALSE,0.880627611
1/3/2019 0:00,397481,US,85140-9175,NA,6394,85206,753,LOAN,Honda,CR-V,2018,NEW,4,25058.89,25245,23998,dmi,RETAIL,AZ,LX FWD,7,FALSE,23266.95,GREAT,23636.39,FALSE,0.92164587
1/3/2019 0:00,400901,US,36116-1022,NA,15618,36606,686,CASH,Acura,RDX,2019,NEW,NA,NA,38295,NA,dmi,WHOLESALE,AL,FWD,5,FALSE,,,NA,TRUE,
1/3/2019 0:00,400905,US,92880-3390,NA,10139,91763,803,LOAN,Acura,RDX,2019,NEW,8,42825.2,44495,42212,dmi,RETAIL,CA,FWD with A-Spec Package,7,FALSE,42613.01,GREAT,42859.81,FALSE,0.957703337
1/3/2019 0:00,400899,US,06514-5119,NA,14435,6460,533,LOAN,Acura,RDX,2019,NEW,91,41337.25,43295,43552.54,dmi,,CT,SH-AWD with Technology Package,3,FALSE,42956.78,GOOD,43028.94,FALSE,0.992188012
1/3/2019 0:00,400899,US,97232-2537,NA,21868,97225,820,LOAN,Acura,RDX,2019,NEW,12,42334.82,43495,44190,dmi,RETAIL,OR,SH-AWD with Technology Package,4,FALSE,44655.23,GOOD,44368.39,FALSE,1.02667502
1/3/2019 0:00,401351,US,19342,41,21697,19153,504,,Chrysler,Pacifica,2019,NEW,7,35086,36130,33623.4,reynolds,RETAIL,PA,Touring Plus,3,FALSE,33677.19,BELOW_MARKET,35533.12,FALSE,0.932111542
1/3/2019 0:00,401354,US,33062-7048,NA,13002,33162,528,CASH,Chrysler,Pacifica,2019,NEW,11,48528,50715,48528,dmi,RETAIL,FL,Limited,5,FALSE,48989.01,GREAT,49363.53,FALSE,0.965966874
1/3/2019 0:00,400213,US,18964-2173,NA,21707,18964,504,CASH,Chrysler,Pacifica,2019,NEW,NA,NA,NA,NA,dmi,,PA,Hybrid Limited,3,FALSE,,,NA,NA,
1/3/2019 0:00,393306,US,90266-2221,NA,87176,91401,803,LOAN,Chrysler,Pacifica,2018,NEW,178,46867,46985,40467,dmi,RETAIL,CA,Hybrid Limited,7,FALSE,41356.18,LOW_OUTLIER,44235.31,TRUE,0.880199638
1/3/2019 0:00,398627,US,92503-0637,NA,14654,92335,803,LOAN,Ford,Flex,2019,NEW,16,36463.86,40140,36181.97,dmi,RETAIL,CA,SEL FWD,7,FALSE,36525.69,LOW_OUTLIER,38076.35,FALSE,0.909957399
1/3/2019 0:00,394250,US,765470789,342,22389,76543,625,,Ford,Edge,2018,NEW,3,34055.43,0,34055.43,reynolds,WHOLESALE,TX,SEL FWD,6,FALSE,,,NA,TRUE,
1/3/2019 0:00,402177,US,34787-2742,NA,30607,32124,534,CASH,Ford,Edge,2019,NEW,NA,NA,40140,NA,dmi,,FL,Titanium FWD,5,FALSE,,,NA,NA,
1/3/2019 0:00,402181,US,95070,60,1556,94087,807,,Ford,Edge,2019,NEW,47,48911.61,50425,48236.61,reynolds,RETAIL,CA,ST AWD,7,FALSE,48313.78,GREAT,48847.61,FALSE,0.958131482
1/3/2019 0:00,394255,US,25271-0716,NA,37740,25271,564,LOAN,Ford,Edge,2018,NEW,61,44424.26,46445,43139.06,dmi,WHOLESALE,WV,Sport AWD,5,FALSE,43548.88,ABOVE_MARKET,40917.62,FALSE,0.937644095
1/3/2019 0:00,402178,US,60005,NA,18359,60172,602,,Ford,Edge,2019,NEW,20,1,NA,28221.34,reynolds,FLEET,IL,SE AWD,2,FALSE,,,NA,TRUE,
1/3/2019 0:00,398842,US,27526-8577,NA,86276,27587,560,CASH,Chevrolet,Silverado 2500HD,2019,NEW,NA,NA,NA,NA,dmi,,NC,Work Truck Double Cab Long Box RWD,5,FALSE,,,NA,TRUE,
1/3/2019 0:00,398853,US,741052641,16,20001,74012,671,,Chevrolet,Silverado 2500HD,2019,NEW,186,36875.6,51125,38502,reynolds,FLEET,OK,LT Double Cab Standard Box 4WD,6,FALSE,38563.6,LOW_OUTLIER,49124.44,TRUE,0.754300244
1/3/2019 0:00,398668,US,92840,51,10386,92843,803,,Chevrolet,Equinox,2019,NEW,5,26342.35,27070,24120,reynolds,RETAIL,CA,LS with 1LS FWD,7,FALSE,24158.59,GOOD,23977.76,FALSE,0.892448836
1/3/2019 0:00,404016,US,07042-5006,NA,3482,7652,501,LOAN,Honda,Civic,2019,NEW,35,19893.45,21145,17173.02,dmi,RETAIL,NJ,LX Sedan CVT,3,FALSE,17336.16,BELOW_MARKET,19048.91,FALSE,0.819870419
1/3/2019 0:00,404016,US,06779-2332,NA,18964,6790,533,LOAN,Honda,Civic,2019,NEW,3,NA,21145,18300,dmi,,CT,LX Sedan CVT,3,FALSE,18473.85,BELOW_MARKET,19981.14,FALSE,0.873674628
1/3/2019 0:00,404021,US,89143-5001,NA,18953,89130,839,CASH,Honda,Civic,2019,NEW,NA,NA,NA,NA,dmi,,NV,Sport Sedan CVT,7,FALSE,,,NA,NA,
1/3/2019 0:00,404021,US,11701,29,18783,11704,501,,Honda,Civic,2019,NEW,7,21291.31,22845,21826.3,reynolds,RETAIL,NY,Sport Sedan CVT,3,FALSE,21861.22,GOOD,21197.42,FALSE,0.956936748
1/3/2019 0:00,404119,US,61615-2147,NA,5394,62521,648,LOAN,Honda,CR-V,2019,NEW,10,27889.27,29645,26886.52,dmi,DEALER_TRADE,IL,EX AWD,2,FALSE,27141.94,GREAT,28514.64,FALSE,0.915565525
1/3/2019 0:00,404119,US,7950,NA,14106,7006,501,LOAN,Honda,CR-V,2019,NEW,5,NA,29645,26815,dmi,,NJ,EX AWD,3,TRUE,27069.74,GREAT,28081.92,FALSE,0.913130039
1/3/2019 0:00,404118,US,19901-6477,NA,5941,19901,504,CASH,Honda,CR-V,2019,NEW,NA,NA,26745,NA,dmi,,DE,LX AWD,3,FALSE,,,NA,NA,
