dma_id,finance_type,make_name,model_name,model_year,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
501,UNKNOWN,Jeep,Grand Cherokee,2019,16,55809,60230,55809,netlink,DEALER_TRADE,NJ,Summit 4WD,3,FALSE,56060.14,BELOW_MARKET,57828.64,FALSE,0.930767724
650,UNKNOWN,Ram,1500 Classic,2019,12,42196.89,37080.58,37315,reynolds,RETAIL,OK,"Big Horn Quad Cab 6'4 Box 2WD""",6,FALSE,37874.5,LOW_OUTLIER,41306.84,TRUE,0.91151
630,LOAN,Ram,1500,2018,112,41342.77,1,42999,netlink,RETAIL,AL,"Harvest Crew Cab 5'7 Box 2WD""",5,FALSE,43192.49,HIGH_OUTLIER,102.03,TRUE,43192.49
501,UNKNOWN,Ram,1500 Classic,2019,12,40711.59,42720,40313,reynolds,RETAIL,NJ,"Express Quad Cab 6'4 Box 4WD""",3,FALSE,40377.5,GREAT,41093.11,FALSE,0.945166199
753,LOAN,Ram,1500,2019,20,36066.74,43285,40665.82,lhm,UNKNOWN,AZ,"Big Horn/Lone Star Crew Cab 5'7 Box 2WD""",7,FALSE,41116.42,ABOVE_MARKET,39467.22,FALSE,0.949899965
520,LOAN,Ram,1500,2019,25,46669,49610,47074.63,dmi,RETAIL,SC,"Big Horn/Lone Star Crew Cab 5'7 Box 4WD""",5,FALSE,49540.83,ABOVE_MARKET,48282.46,FALSE,0.998605725
623,LEASE,Ram,1500,2019,65,54264,59010,50767.59,autonation,UNKNOWN,TX,"Laramie Crew Cab 5'7 Box 4WD""",6,TRUE,51671.25,GREAT,53259.29,FALSE,0.875635486
506,LOAN,Ford,Mustang,2019,15,45370.44,47865,45371,dmi,RETAIL,MA,GT Fastback,3,FALSE,45802.02,GOOD,45153.52,FALSE,0.956900031
560,CASH,Ford,Mustang,2019,4,36998.44,38440,36433.72,dmi,DEALER_TRADE,NC,GT Fastback,5,FALSE,36779.84,GREAT,37733.23,FALSE,0.956811655
641,UNKNOWN,Ford,Mustang,2019,24,50934.58,51960,56960,reynolds,RETAIL,TX,GT Premium Fastback,6,FALSE,57321.56,HIGH_OUTLIER,47551.9,TRUE,1.103186297
